 value |                                      value                                       | entryid  
 1.3   | autres aires protégée | 1623473
 1.3   | autres aires protégée | 1623473
 1.1   | aire protégée         | 1076099
 1.1   | aire protégée         | 1076099
 1.1   | aire protégée         | 1076099
 1.1   | aire protégée         | 1076099
 1.4   | aire protégée         | 1076099
 1.4   | aire protégée         | 1076099
 1.4   | aire protégée         | 1076099
 1.4   | aire protégée         | 1076099
 1.4   | aire de répartition   | 1088008
 1.4   | aire de répartition   | 1088008
 1.4   | aire de répartition   | 1088008
 1.4   | aire de répartition   | 1088008
 1.3   | biotope naturel       | 1126995
 1.3   | biotope naturel       | 1126995
 1.3   | biotope naturel       | 1126995
 1.3   | biotope naturel       | 1126995
 1.3   | écosystème            | 1127148
 1.3   | écosystème            | 1127148
 1.3   | écosystème            | 1127148
 1.3   | écosystème            | 1127148
 1.3   | écosystème sensible   | 1127184
 1.3   | écosystème sensible   | 1127184
 1.3   | écosystème sensible   | 1127184
 1.3   | écosystème sensible   | 1127184
 3.5   | tourisme alpin        | 1132746
 3.5   | tourisme alpin        | 1132746
 3.5   | tourisme alpin        | 1132746
 3.5   | tourisme alpin        | 1132746
 1.4   | peuplement            | 1200927
 1.4   | peuplement            | 1200927
 1.4   | peuplement            | 1200927
 1.4   | peuplement            | 1200927
 1.3   | autres aires protégée | 1623473
 1.3   | autres aires protégée | 1623473
 1.3   | autres aires protégée | 1623473
 1.3   | autres aires protégée | 1623473
 1.1   | action collective     | 10899445
 1.1   | action collective     | 10899445
 1.1   | action collective     | 10899445
 1.1   | action collective     | 10899445
(80 rows)

 value |                 value                  | entryid 
-------+----------------------------------------+---------
 2.1   | trasferimento su rotaia dei trasporti  | 5008521
 2.1   | trasferimento su rotaia dei trasporti  | 5008521
 2.1   | trasferimento su rotaia dei trasporti  | 5008521
 2.1   | trasferimento su rotaia dei trasporti  | 5008521
 2.9   | trasporto regionale                    | 5135179
 2.9   | trasporto regionale                    | 5135179
 2.9   | trasporto regionale                    | 5135179
 2.9   | trasporto regionale                    | 5135179
 1.5.3 | equilibrio climatico                   | 5925588
 1.5.3 | equilibrio climatico                   | 5925588
 1.5.3 | equilibrio climatico                   | 5925588
 1.5.3 | equilibrio climatico                   | 5925588
 4.2   | rischio d'incendio boschivo            | 8628337
 4.2   | rischio d'incendio boschivo            | 8628337
 4.2   | rischio d'incendio boschivo            | 8628337
 4.2   | rischio d'incendio boschivo            | 8628337
 1.1   | danno                                  | 8981128
 1.1   | danno                                  | 8981128
 1.1   | danno                                  | 8981128
 1.1   | danno                                  | 8981128
 2.3   | aviolancio all'esterno degli aerodromi | 4973020
 2.3   | aviolancio all'esterno degli aerodromi | 4973020
 2.3   | aviolancio all'esterno degli aerodromi | 4973020
 2.3   | aviolancio all'esterno degli aerodromi | 4973020
 2.3   | aviolancio all'esterno degli aerodromi | 4973020
 2.3   | aviolancio all'esterno degli aerodromi | 4973020
 2.3   | aviolancio all'esterno degli aerodromi | 4973020
 2.3   | aviolancio all'esterno degli aerodromi | 4973020
 2.1   | trasferimento su rotaia dei trasporti  | 5008521
 2.1   | trasferimento su rotaia dei trasporti  | 5008521
 2.1   | trasferimento su rotaia dei trasporti  | 5008521
 2.1   | trasferimento su rotaia dei trasporti  | 5008521
 2.9   | trasporto regionale                    | 5135179
 2.9   | trasporto regionale                    | 5135179
 2.9   | trasporto regionale                    | 5135179
 2.9   | trasporto regionale                    | 5135179
 1.5.3 | equilibrio climatico                   | 5925588
 1.5.3 | equilibrio climatico                   | 5925588
 1.5.3 | equilibrio climatico                   | 5925588
 1.5.3 | equilibrio climatico                   | 5925588
 4.2   | rischio d'incendio boschivo            | 8628337
 4.2   | rischio d'incendio boschivo            | 8628337
 4.2   | rischio d'incendio boschivo            | 8628337
 4.2   | rischio d'incendio boschivo            | 8628337
 1.1   | danno                                  | 8981128
 1.1   | danno                                  | 8981128
 1.1   | danno                                  | 8981128
 1.1   | danno                                  | 8981128
(48 rows)

 value |           value           | entryid 
-------+---------------------------+---------
 1.1   | poseg v naravo in krajino | 9143803
 1.1   | poseg v naravo in krajino | 9143803
 1.1   | poseg v naravo in krajino | 9143803
 1.1   | poseg v naravo in krajino | 9143803
 1.2   | poseg v naravo in krajino | 9143803
 1.2   | poseg v naravo in krajino | 9143803
 1.2   | poseg v naravo in krajino | 9143803
 1.2   | poseg v naravo in krajino | 9143803
 4.2   | gozdarska organizacija    | 7623312
 4.2   | gozdarska organizacija    | 7623312
 4.2   | gozdarska organizacija    | 7623312
 4.2   | gozdarska organizacija    | 7623312
 4.2   | gozdarska organizacija    | 7623312
 4.2   | gozdarska organizacija    | 7623312
 4.2   | gozdarska organizacija    | 7623312
 4.2   | gozdarska organizacija    | 7623312
 1.1   | poseg v naravo in krajino | 9143803
 1.1   | poseg v naravo in krajino | 9143803
 1.1   | poseg v naravo in krajino | 9143803
 1.1   | poseg v naravo in krajino | 9143803
 1.2   | poseg v naravo in krajino | 9143803
 1.2   | poseg v naravo in krajino | 9143803
 1.2   | poseg v naravo in krajino | 9143803
 1.2   | poseg v naravo in krajino | 9143803
(24 rows)

 value | value | entryid 
-------+-------+---------
(0 rows)

